Client,Sex,Age,Tenure
1,F,51,7
2,M,43,152
3,M,17,140
4,M,24,153
5,F,58,200
6,F,24,19
7,F,55,227
8,F,64,30
9,F,33,182
10,F,29,48
11,M,30,40
12,M,45,155
13,F,66,132
14,F,38,95
15,M,26,174
16,M,46,149
17,F,64,150
18,M,25,41
19,F,46,94
20,M,27,181
21,F,24,60
22,M,54,0
23,M,4,160
24,F,29,23
25,F,97,181
26,F,27,24
27,M,62,181
28,F,18,28
29,F,60,150
30,M,54,2
31,F,59,97
32,M,29,15
33,M,71,150
34,F,48,104
35,M,66,31
36,F,49,263
37,F,30,172
38,F,27,12
39,M,78,51
40,M,27,33
41,M,20,198
42,M,23,4
43,F,65,83
44,F,35,51
45,M,63,52
46,M,45,95
47,M,45,229
48,M,64,92
49,F,46,19
50,F,33,109
51,F,67,85
52,F,43,53
53,M,64,125
54,M,38,149
55,F,51,137
56,M,54,105
57,M,28,157
58,F,45,49
59,F,32,149
60,F,20,28
61,F,14,159
62,M,51,113
63,M,37,29
64,F,61,38
65,F,67,180
66,M,62,91
67,F,14,20
68,M,54,20
69,M,41,17
70,M,38,152
71,F,43,15
72,M,47,129
73,M,87,163
74,M,63,20
75,M,59,57
76,F,66,178
77,M,71,2
78,F,24,142
79,F,41,75
80,M,9,81
81,M,86,19
82,F,20,151
83,F,43,111
84,M,66,235
85,F,25,60
86,M,36,31
87,M,45,58
88,M,21,33
89,F,40,118
90,F,20,81
91,M,35,61
92,M,59,149
93,F,31,8
94,M,22,189
95,M,35,151
96,M,30,151
97,F,71,135
98,M,51,150
99,F,68,150
100,F,39,86
101,M,63,139
102,M,20,172
103,F,80,199
104,M,10,65
105,M,49,150
106,F,48,88
107,F,26,181
108,F,39,82
109,M,64,151
110,M,55,76
111,F,34,94
112,F,73,31
113,F,43,150
114,F,26,13
115,F,57,144
116,F,47,239
117,F,43,153
118,F,43,92
119,F,25,152
120,M,32,14
121,F,25,31
122,M,39,80
123,F,22,40
124,M,68,47
125,M,38,175
126,F,33,173
127,F,25,150
128,M,70,6
129,M,42,126
130,F,60,147
131,M,47,92
132,M,50,53
133,M,46,6
134,M,32,128
135,M,24,82
136,M,33,52
137,F,63,168
138,M,47,79
139,F,74,64
140,M,25,125
141,F,20,24
142,F,27,183
143,F,66,18
144,M,67,104
145,M,14,52
146,M,37,89
147,M,25,176
148,M,45,42
149,M,54,18
150,F,27,3
151,M,58,265
152,M,50,64
153,F,67,92
154,M,28,151
155,M,27,97
156,M,54,95
157,M,25,151
158,M,0,152
159,M,33,152
160,F,41,181
161,F,46,103
162,F,51,123
163,F,60,51
164,F,40,151
165,F,42,103
166,M,48,51
167,M,73,92
168,F,26,168
169,M,75,76
170,F,41,151
171,F,22,151
172,F,56,188
173,M,23,150
174,M,22,109
175,F,41,61
176,F,56,188
177,F,22,71
178,M,20,46
179,F,20,109
180,F,56,174
181,M,71,0
182,M,64,187
183,M,32,179
184,F,30,115
185,M,24,95
186,M,40,26
187,M,55,164
188,F,30,53
189,M,16,22
190,M,50,62
191,M,59,150
192,F,61,57
193,F,64,181
194,M,27,2
195,M,65,162
196,M,63,75
197,M,70,58
198,F,54,5
199,F,47,151
200,F,24,129
201,M,68,34
202,F,61,150
203,F,57,181
204,F,41,12
205,M,19,9
206,M,83,205
207,F,41,25
208,F,40,183
209,M,70,16
210,M,55,120
211,F,44,71
212,F,23,68
213,F,47,151
214,M,39,9
215,M,32,94
216,F,61,71
217,M,17,152
218,M,40,26
219,M,70,50
220,F,51,29
221,M,42,186
222,F,70,68
223,M,30,76
224,F,83,175
225,M,14,187
226,F,57,107
227,F,36,151
228,F,38,158
229,M,74,141
230,M,40,271
231,M,27,216
232,M,38,4
233,M,32,85
234,F,54,150
235,F,26,146
236,F,37,168
237,M,40,173
238,M,24,256
239,F,24,150
240,M,43,162
241,F,30,12
242,F,45,146
243,M,20,6
244,M,41,162
245,M,26,183
246,M,62,0
247,F,55,172
248,F,27,127
249,F,25,196
250,F,31,42
251,F,67,8
252,M,45,79
253,M,37,13
254,F,34,55
255,M,73,152
256,F,29,93
257,M,45,38
258,M,73,182
259,M,30,21
260,M,40,153
261,F,18,152
262,F,38,72
263,F,67,10
264,F,48,109
265,F,26,179
266,M,42,34
267,F,73,36
268,M,66,39
269,F,39,61
270,F,31,63
271,M,24,70
272,M,61,103
273,M,40,67
274,M,66,169
275,M,73,2
276,F,68,38
277,F,26,61
278,M,36,56
279,M,22,135
280,M,23,234
281,M,30,140
282,M,50,152
283,M,27,104
284,M,66,23
285,F,76,249
286,F,4,20
287,M,32,104
288,F,32,151
289,F,44,150
290,F,66,24
291,F,72,12
292,M,36,5
293,F,21,76
294,F,54,101
295,M,46,38
296,M,16,36
297,M,73,56
298,M,48,221
299,F,28,137
300,F,5,87
301,M,37,58
302,M,63,27
303,M,32,87
304,F,78,49
305,M,37,140
306,F,52,78
307,M,32,151
308,F,45,135
309,F,62,134
310,F,45,149
311,M,20,181
312,F,71,57
313,M,47,61
314,M,42,150
315,M,24,93
316,F,1,211
317,M,35,53
318,F,17,77
319,M,40,150
320,M,28,114
321,F,44,51
322,F,1,92
323,F,38,63
324,F,35,23
325,M,33,167
326,M,33,129
327,M,73,177
328,F,27,10
329,F,18,149
330,M,34,2
331,F,43,160
332,M,73,37
333,M,33,203
334,F,49,163
335,M,50,138
336,M,69,186
337,F,47,150
338,F,27,152
339,M,16,60
340,F,76,80
341,F,46,171
342,F,26,203
343,M,38,162
344,M,45,54
345,M,56,111
346,M,52,71
347,F,46,80
348,M,27,253
349,M,72,32
350,F,4,218
351,F,42,172
352,M,38,194
353,M,61,150
354,M,43,68
355,M,43,36
356,M,48,33
357,M,5,39
358,F,38,181
359,M,30,12
360,M,46,86
361,M,71,168
362,F,46,99
363,M,33,59
364,M,37,96
365,M,60,192
366,M,21,75
367,F,42,3
368,M,73,11
369,M,59,39
370,M,77,1
371,M,49,70
372,F,39,172
373,M,39,7
374,M,68,32
375,M,64,149
376,M,61,50
377,M,38,167
378,M,75,44
379,M,69,150
380,F,37,176
381,M,81,19
382,M,29,150
383,F,31,3
384,M,23,160
385,F,51,70
386,M,60,11
387,M,36,149
388,F,40,89
389,M,43,158
390,M,50,67
391,M,1,16
392,M,27,80
393,M,60,170
394,M,7,150
395,F,49,150
396,F,26,96
397,M,12,57
398,F,56,30
399,M,59,152
400,F,80,33
401,F,38,37
402,F,29,30
403,F,19,63
404,F,25,63
405,M,26,0
406,F,31,32
407,M,32,12
408,M,35,181
409,M,31,91
410,M,17,27
411,M,74,33
412,F,51,116
413,M,53,15
414,F,33,116
415,M,57,177
416,F,44,95
417,F,33,183
418,M,28,8
419,F,33,82
420,M,47,74
421,M,28,110
422,F,27,160
423,F,52,151
424,F,40,31
425,M,72,150
426,M,42,10
427,M,25,20
428,M,49,102
429,F,59,69
430,M,52,134
431,M,21,208
432,M,53,13
433,F,43,183
434,M,64,130
435,M,40,93
436,M,27,70
437,F,45,58
438,F,30,217
439,F,67,104
440,F,21,86
441,M,46,0
442,M,13,38
443,M,30,73
444,M,63,250
445,M,21,15
446,F,27,181
447,F,30,176
448,F,23,159
449,M,18,20
450,F,76,29
451,M,62,152
452,F,74,0
453,F,23,83
454,M,76,136
455,F,32,15
456,M,66,18
457,F,73,0
458,F,29,149
459,F,41,154
460,F,20,150
461,F,17,64
462,F,23,26
463,F,48,59
464,M,68,153
465,F,27,43
466,F,55,185
467,F,83,3
468,F,61,37
469,M,38,183
470,F,79,128
471,F,29,38
472,M,58,51
473,M,61,69
474,F,19,75
475,F,68,113
476,M,42,37
477,M,32,152
478,M,41,11
479,M,30,96
480,M,36,71
481,F,32,26
482,F,65,7
483,F,57,175
484,F,71,90
485,M,10,181
486,M,43,195
487,M,35,60
488,F,59,6
489,M,67,151
490,M,7,177
491,M,53,10
492,F,24,139
493,M,47,92
494,F,58,151
495,F,19,150
496,M,35,149
497,M,42,181
498,F,21,176
499,F,53,212
500,M,30,150
501,F,64,11
502,F,69,192
503,F,32,73
504,M,20,55
505,M,38,157
506,F,20,78
507,M,49,150
508,F,53,0
509,M,5,168
510,F,50,188
511,M,26,137
512,M,38,181
513,M,40,152
514,M,77,129
515,F,46,102
516,F,63,176
517,F,41,28
518,F,52,115
519,M,17,151
520,M,57,20
521,M,23,149
522,F,47,129
523,F,38,0
524,M,23,153
525,M,31,54
526,M,73,40
527,F,17,22
528,F,19,70
529,F,33,61
530,M,35,180
531,M,30,211
532,M,65,125
533,F,63,27
534,F,38,71
535,M,39,151
536,M,29,14
537,M,78,58
538,F,48,119
539,M,12,34
540,M,45,150
541,F,81,273
542,M,24,25
543,F,72,96
544,M,5,113
545,M,20,151
546,F,63,47
547,F,52,31
548,F,54,12
549,M,30,58
550,F,64,179
551,F,10,32
552,M,43,136
553,M,43,152
554,M,40,150
555,F,29,22
556,M,39,160
557,F,21,151
558,F,29,172
559,M,25,76
560,M,58,25
561,F,51,25
562,M,22,179
563,F,26,150
564,M,58,32
565,M,11,39
566,M,40,161
567,F,59,29
568,F,42,151
569,F,61,151
570,F,51,3
571,F,73,219
572,M,39,16
573,F,56,77
574,F,67,68
575,F,28,151
576,M,58,63
577,F,67,64
578,F,49,92
579,M,55,26
580,F,57,40
581,M,44,102
582,M,57,65
583,F,34,149
584,M,35,232
585,M,30,30
586,M,33,84
587,F,53,83
588,F,64,39
589,M,39,150
590,F,65,62
591,F,36,150
592,F,50,149
593,M,42,169
594,M,35,33
595,M,25,75
596,M,53,110
597,M,69,12
598,M,28,123
599,F,22,23
600,M,50,150
601,M,61,33
602,M,65,103
603,F,30,6
604,M,47,44
605,M,59,88
606,M,62,151
607,F,20,151
608,M,35,157
609,F,67,14
610,M,29,212
611,M,35,181
612,F,74,9
613,F,5,96
614,M,58,28
615,M,34,132
616,M,67,79
617,F,29,26
618,M,48,62
619,M,40,174
620,F,28,27
621,F,37,152
622,M,56,112
623,F,39,129
624,M,44,190
625,M,60,139
626,F,58,100
627,M,30,227
628,M,21,94
629,F,61,173
630,M,22,178
631,F,65,150
632,M,26,173
633,F,47,4
634,F,31,81
635,F,35,44
636,M,51,82
637,F,48,61
638,M,1,31
639,F,81,234
640,F,33,132
641,F,72,150
642,F,87,196
643,M,57,123
644,M,56,20
645,M,63,144
646,M,45,4
647,M,68,28
648,F,7,152
649,F,21,39
650,M,22,89
651,M,58,79
652,M,50,112
653,M,39,100
654,F,36,148
655,F,16,0
656,M,62,45
657,F,42,42
658,F,51,32
659,F,40,130
660,M,61,145
661,F,67,56
662,F,8,56
663,M,42,106
664,M,63,121
665,M,44,153
666,M,59,101
667,M,48,143
668,F,55,119
669,M,56,58
670,F,88,110
671,M,19,128
672,M,4,261
673,M,73,116
674,F,31,263
675,F,36,131
676,F,37,68
677,M,25,179
678,F,16,57
679,F,39,71
680,M,37,26
681,F,56,33
682,F,3,149
683,F,55,101
684,M,43,165
685,M,60,158
686,M,57,51
687,F,43,57
688,F,71,100
689,F,39,133
690,F,72,105
691,F,41,216
692,M,32,126
693,F,15,54
694,F,34,40
695,F,34,13
696,F,44,175
697,F,54,256
698,M,51,102
699,M,37,175
700,M,34,80
701,F,39,151
702,F,71,168
703,F,21,149
704,F,63,138
705,M,34,64
706,F,31,220
707,M,88,75
708,M,49,181
709,M,26,25
710,F,33,179
711,F,26,150
712,F,51,48
713,M,50,67
714,M,52,181
715,M,37,63
716,F,37,107
717,M,24,147
718,F,2,13
719,F,35,95
720,M,21,150
721,F,67,82
722,F,26,83
723,M,59,0
724,F,39,176
725,F,31,74
726,F,60,67
727,F,53,209
728,F,37,158
729,M,17,85
730,M,59,38
731,F,21,181
732,M,43,63
733,M,17,4
734,M,64,134
735,M,23,53
736,F,74,233
737,F,55,31
738,M,49,123
739,M,69,55
740,F,71,1
741,M,67,77
742,M,45,104
743,M,57,203
744,M,33,107
745,M,26,76
746,M,46,163
747,M,31,20
748,F,67,181
749,M,30,9
750,F,40,173
751,M,59,20
752,M,58,37
753,M,45,52
754,F,36,196
755,M,34,55
756,M,29,149
757,F,50,108
758,M,33,31
759,F,26,75
760,F,44,92
761,F,44,13
762,M,38,103
763,F,83,126
764,F,51,36
765,F,44,66
766,M,32,95
767,F,58,9
768,M,19,67
769,F,31,64
770,M,37,80
771,F,6,66
772,M,68,19
773,F,68,42
774,F,29,33
775,M,40,151
776,M,33,152
777,F,5,22
778,M,50,150
779,M,44,132
780,M,19,127
781,M,51,188
782,M,75,22
783,M,26,102
784,F,30,88
785,M,9,179
786,M,75,239
787,M,66,129
788,F,62,94
789,M,26,2
790,M,30,122
791,F,16,23
792,M,84,151
793,F,63,20
794,F,39,202
795,F,68,26
796,F,76,64
797,F,37,151
798,F,24,102
799,M,73,149
800,M,35,75
801,F,44,24
802,M,47,25
803,M,37,115
804,M,70,130
805,M,57,147
806,F,37,59
807,M,42,86
808,M,48,85
809,M,30,157
810,F,48,107
811,M,28,151
812,M,29,175
813,F,57,150
814,F,46,7
815,M,42,150
816,M,24,4
817,M,42,152
818,M,76,173
819,M,34,181
820,F,66,55
821,M,77,61
822,F,69,225
823,F,49,9
824,F,57,1
825,M,32,152
826,F,30,108
827,M,57,50
828,F,27,221
829,F,80,71
830,M,23,65
831,M,47,111
832,F,37,174
833,M,36,150
834,F,28,78
835,F,66,98
836,F,27,129
837,M,56,176
838,M,24,181
839,M,29,55
840,F,67,86
841,F,63,134
842,F,54,56
843,,36,151
844,M,43,129
845,F,31,37
846,M,21,52
847,M,19,77
848,M,34,23
849,F,24,14
850,F,49,44
851,F,4,80
852,M,30,199
853,M,47,148
854,F,26,47
855,M,35,150
856,F,5,62
857,F,61,171
858,M,8,25
859,M,12,150
860,M,26,9
861,M,46,20
862,M,29,152
863,M,26,151
864,M,31,26
865,M,23,26
866,M,21,83
867,F,36,62
868,F,40,151
869,M,66,93
870,M,22,101
871,F,45,157
872,F,26,152
873,F,31,150
874,F,32,151
875,M,43,124
876,F,57,115
877,F,26,8
878,F,5,173
879,M,37,35
880,F,49,64
881,M,72,179
882,M,36,150
883,F,34,67
884,F,32,149
885,M,32,151
886,F,36,181
887,F,55,151
888,F,46,150
889,M,36,236
890,M,35,22
891,M,21,11
892,M,45,149
893,M,48,53
894,M,69,21
895,F,22,25
896,M,23,99
897,F,51,116
898,F,19,89
899,M,59,61
900,M,48,251
901,F,41,52
902,F,40,212
903,M,33,181
904,F,23,152
905,M,37,11
906,M,24,55
907,M,67,193
908,M,43,179
909,M,21,27
910,M,34,44
911,F,22,30
912,M,50,10
913,M,44,3
914,M,28,8
915,M,59,180
916,F,51,151
917,F,44,232
918,M,37,44
919,F,29,5
920,M,29,150
921,F,36,167
922,F,26,209
923,F,49,226
924,F,30,135
925,M,28,0
926,M,72,188
927,F,41,217
928,F,83,24
929,M,87,150
930,F,26,117
931,M,40,63
932,F,22,126
933,F,17,102
934,M,78,55
935,F,46,49
936,M,22,13
937,M,65,80
938,M,57,33
939,M,62,151
940,M,18,9
941,M,27,97
942,M,40,76
943,F,13,150
944,M,43,149
945,F,31,1
946,M,48,154
947,M,34,86
948,M,31,182
949,F,55,150
950,F,26,152
951,M,69,178
952,F,71,165
953,,50,35
954,M,83,20
955,F,19,62
956,M,52,139
957,F,92,19
958,F,63,68
959,F,34,27
960,M,15,53
961,F,8,154
962,F,56,151
963,F,71,104
964,M,52,61
965,M,62,169
966,M,44,217
967,F,27,152
968,M,35,116
969,M,22,8
970,M,32,255
971,M,59,56
972,F,26,56
973,F,39,105
974,F,61,110
975,M,57,215
976,F,58,175
977,M,46,59
978,M,35,44
979,M,35,156
980,F,51,88
981,M,34,59
982,F,86,88
983,M,56,80
984,M,29,55
985,F,36,92
986,F,18,128
987,F,29,34
988,F,47,28
989,M,55,181
990,F,23,153
991,M,42,68
992,M,24,83
993,F,19,38
994,M,40,31
995,F,13,48
996,F,39,1
997,F,71,62
998,M,37,7
999,F,26,85
1000,M,61,1
1001,M,64,9
1002,F,73,48
1003,F,16,39
1004,M,70,145
1005,M,28,87
1006,M,30,182
1007,F,42,152
1008,F,37,103
1009,M,41,152
1010,F,59,32
1011,F,38,50
1012,F,23,99
1013,F,25,150
1014,M,37,152
1015,M,31,96
1016,M,76,57
1017,M,57,145
1018,M,36,51
1019,F,18,39
1020,M,21,150
1021,M,29,8
1022,M,71,53
1023,F,49,150
1024,M,65,13
1025,M,55,35
1026,M,70,69
1027,F,64,150
1028,F,29,39
1029,M,68,135
1030,F,27,164
1031,M,40,172
1032,M,47,72
1033,M,23,188
1034,M,68,172
1035,F,32,145
1036,F,68,19
1037,F,59,181
1038,M,29,106
1039,F,56,46
1040,M,65,14
1041,M,61,11
1042,M,61,83
1043,F,52,1
1044,F,2,70
1045,M,53,25
1046,M,51,30
1047,F,41,14
1048,F,65,71
1049,M,39,197
1050,M,44,151
1051,M,34,102
1052,M,34,150
1053,M,82,62
1054,M,10,20
1055,M,21,10
1056,F,10,159
1057,F,51,34
1058,M,79,145
1059,M,34,48
1060,M,40,88
1061,M,21,80
1062,F,64,2
1063,M,5,230
1064,M,39,98
1065,F,25,119
1066,M,70,54
1067,F,63,181
1068,M,46,24
1069,M,58,142
1070,M,24,97
1071,F,54,8
1072,M,50,103
1073,F,4,9
1074,M,21,49
1075,F,29,101
1076,F,22,61
1077,M,26,25
1078,F,27,169
1079,M,37,68
1080,F,48,122
1081,F,27,173
1082,M,1,150
1083,F,39,12
1084,M,23,102
1085,M,32,103
1086,F,45,11
1087,M,29,34
1088,M,41,10
1089,M,44,110
1090,F,31,33
1091,F,42,174
1092,F,31,115
1093,M,22,181
1094,M,25,8
1095,F,26,144
1096,F,39,266
1097,M,37,169
1098,M,64,118
1099,F,35,152
1100,F,69,92
1101,M,24,60
1102,M,59,8
1103,M,51,233
1104,F,79,213
1105,F,61,152
1106,M,36,19
1107,F,13,151
1108,M,43,142
1109,F,25,46
1110,F,42,155
1111,F,23,145
1112,F,45,134
1113,F,58,15
1114,M,33,13
1115,M,31,6
1116,M,24,33
1117,F,55,117
1118,F,55,123
1119,F,22,177
1120,M,37,178
1121,F,35,190
1122,F,19,142
1123,F,36,192
1124,M,55,152
1125,F,64,150
1126,M,46,117
1127,M,70,191
1128,F,60,64
1129,F,42,45
1130,M,33,31
1131,F,46,170
1132,M,93,94
1133,F,44,89
1134,F,35,96
1135,F,67,27
1136,F,69,152
1137,F,67,51
1138,F,54,150
1139,M,52,71
1140,F,75,6
1141,F,48,37
1142,F,41,0
1143,M,53,65
1144,M,48,18
1145,M,61,45
1146,F,57,11
1147,F,38,164
1148,F,70,152
1149,M,54,172
1150,F,31,23
1151,M,22,45
1152,M,16,179
1153,M,40,46
1154,M,82,151
1155,F,69,219
1156,M,82,25
1157,F,71,171
1158,F,33,0
1159,F,33,128
1160,M,19,260
1161,F,22,103
1162,F,30,9
1163,M,36,152
1164,F,69,168
1165,F,21,73
1166,F,77,79
1167,F,53,53
1168,F,85,205
1169,F,6,172
1170,M,28,68
1171,F,27,119
1172,F,11,49
1173,F,35,65
1174,F,59,35
1175,F,21,233
1176,M,14,19
1177,F,42,149
1178,M,69,152
1179,M,68,177
1180,F,18,150
1181,F,66,32
1182,M,47,86
1183,M,58,235
1184,F,28,80
1185,M,33,84
1186,F,45,173
1187,M,57,52
1188,M,67,28
1189,M,33,83
1190,F,26,64
1191,M,69,46
1192,M,25,109
1193,M,48,16
1194,F,32,149
1195,M,68,200
1196,M,20,183
1197,F,62,36
1198,M,34,144
1199,F,73,178
1200,F,50,81
1201,F,61,132
1202,M,74,62
1203,F,45,174
1204,F,27,65
1205,M,69,83
1206,F,51,68
1207,F,31,71
1208,F,23,62
1209,M,50,19
1210,F,17,171
1211,M,6,61
1212,M,32,198
1213,M,36,152
1214,F,41,19
1215,M,29,55
1216,F,61,8
1217,M,38,165
1218,F,36,49
1219,M,33,19
1220,M,28,53
1221,M,86,17
1222,F,21,39
1223,F,44,0
1224,M,90,151
1225,M,45,220
1226,F,82,211
1227,F,39,122
1228,F,19,7
1229,F,64,175
1230,F,45,20
1231,F,6,232
1232,M,56,149
1233,F,38,25
1234,F,52,114
1235,M,65,97
1236,M,24,151
1237,F,43,134
1238,M,50,54
1239,F,27,26
1240,M,47,150
1241,F,2,170
1242,F,23,63
1243,M,78,51
1244,F,34,152
1245,M,51,181
1246,F,42,180
1247,M,61,55
1248,F,28,33
1249,M,66,71
1250,F,40,15
1251,M,53,74
1252,M,44,152
1253,M,50,134
1254,M,39,180
1255,F,42,136
1256,M,6,149
1257,F,23,8
1258,M,63,48
1259,M,26,228
1260,M,61,171
1261,M,22,148
1262,M,34,67
1263,M,69,103
1264,M,77,28
1265,F,31,162
1266,F,20,59
1267,F,37,125
1268,F,23,179
1269,F,37,43
1270,F,38,43
1271,M,42,94
1272,M,35,96
1273,M,47,161
1274,M,41,35
1275,F,66,84
1276,M,28,145
1277,M,21,19
1278,F,60,59
1279,M,51,163
1280,F,48,33
1281,F,40,15
1282,M,23,68
1283,M,63,174
1284,F,58,26
1285,M,76,4
1286,M,39,181
1287,M,40,176
1288,M,41,3
1289,F,12,20
1290,M,65,252
1291,F,33,226
1292,F,47,151
1293,F,31,151
1294,F,51,172
1295,M,32,162
1296,F,49,151
1297,F,78,159
1298,F,26,176
1299,F,24,72
1300,M,41,150
1301,M,52,71
1302,M,66,69
1303,M,52,151
1304,F,65,80
1305,M,35,152
1306,F,43,102
1307,F,50,150
1308,F,22,10
1309,M,57,151
1310,M,36,104
1311,F,66,135
1312,M,64,154
1313,M,76,74
1314,M,34,138
1315,F,40,88
1316,F,63,158
1317,F,39,176
1318,F,62,242
1319,F,22,79
1320,M,60,191
1321,M,44,180
1322,M,63,52
1323,F,70,213
1324,M,48,225
1325,M,24,134
1326,M,50,191
1327,M,57,124
1328,M,54,52
1329,F,16,149
1330,M,6,31
1331,F,79,47
1332,M,37,209
1333,M,34,198
1334,F,69,163
1335,F,70,9
1336,M,61,171
1337,F,65,175
1338,M,42,61
1339,M,80,86
1340,M,60,6
1341,M,32,180
1342,M,27,211
1343,M,37,152
1344,M,21,100
1345,F,22,152
1346,F,32,77
1347,M,23,70
1348,M,39,16
1349,M,50,229
1350,F,23,111
1351,F,40,149
1352,F,67,59
1353,M,29,83
1354,M,17,142
1355,F,55,101
1356,F,38,183
1357,F,56,14
1358,F,25,182
1359,M,40,60
1360,M,28,212
1361,F,64,10
1362,F,76,53
1363,,38,8
1364,F,39,63
1365,F,39,227
1366,F,32,33
1367,F,38,18
1368,M,23,51
1369,M,39,55
1370,M,27,8
1371,M,51,109
1372,M,10,176
1373,F,25,26
1374,F,61,150
1375,F,65,93
1376,F,20,36
1377,F,53,171
1378,M,76,146
1379,F,47,133
1380,F,32,165
1381,M,38,135
1382,F,23,99
1383,M,39,26
1384,M,27,124
1385,M,38,152
1386,F,52,8
1387,M,72,107
1388,M,69,27
1389,M,50,9
1390,F,59,170
1391,M,73,136
1392,F,29,152
1393,F,74,195
1394,M,38,36
1395,F,41,64
1396,M,56,16
1397,M,18,81
1398,M,42,151
1399,M,24,151
1400,M,40,39
1401,M,51,81
1402,M,34,151
1403,F,4,151
1404,F,68,11
1405,M,24,103
1406,F,21,181
1407,M,43,16
1408,F,23,122
1409,F,10,149
1410,F,41,85
1411,M,32,40
1412,M,40,149
1413,M,31,52
1414,F,71,49
1415,M,67,28
1416,M,61,132
1417,F,52,151
1418,M,64,83
1419,M,35,59
1420,M,46,86
1421,F,43,79
1422,M,34,163
1423,M,67,50
1424,M,34,151
1425,F,32,66
1426,F,71,25
1427,F,4,179
1428,F,50,151
1429,M,28,150
1430,F,62,87
1431,F,19,231
1432,M,35,156
1433,F,61,3
1434,F,76,268
1435,F,44,148
1436,M,24,123
1437,M,67,62
1438,F,27,199
1439,F,25,7
1440,M,29,96
1441,F,49,97
1442,F,26,9
1443,F,40,152
1444,M,39,139
1445,F,27,28
1446,F,46,106
1447,M,52,20
1448,F,24,147
1449,M,94,149
1450,M,41,66
1451,M,49,151
1452,F,36,15
1453,M,80,54
1454,F,47,83
1455,M,39,151
1456,F,61,149
1457,M,41,30
1458,M,38,152
1459,F,29,62
1460,M,72,2
1461,M,32,158
1462,F,36,38
1463,F,43,117
1464,F,54,35
1465,M,41,14
1466,M,63,97
1467,F,40,115
1468,M,36,152
1469,F,32,15
1470,M,33,175
1471,F,75,108
1472,F,70,146
1473,M,54,34
1474,F,25,240
1475,F,59,20
1476,M,41,208
1477,F,64,184
1478,F,54,11
1479,M,66,61
1480,M,24,89
1481,M,7,0
1482,M,25,81
1483,M,69,41
1484,M,39,0
1485,F,54,23
1486,F,27,75
1487,M,52,68
1488,M,73,233
1489,M,80,66
1490,F,61,181
1491,M,19,151
1492,M,56,200
1493,M,2,183
1494,M,74,186
1495,M,50,8
1496,F,28,103
1497,F,32,150
1498,M,30,107
1499,F,5,267
1500,F,33,15
1501,M,44,10
1502,M,17,34
1503,M,52,144
1504,M,37,151
1505,M,60,176
1506,M,56,108
1507,F,43,98
1508,M,68,132
1509,F,34,13
1510,M,19,44
1511,M,49,147
1512,F,34,58
1513,F,87,149
1514,F,38,171
1515,F,51,105
1516,F,40,192
1517,M,48,88
1518,M,69,169
1519,M,41,4
1520,M,51,120
1521,M,27,56
1522,M,72,143
1523,M,42,111
1524,F,25,115
1525,M,45,2
1526,F,39,146
1527,M,39,10
1528,F,23,110
1529,F,1,36
1530,F,22,153
1531,F,31,104
1532,M,35,101
1533,M,37,181
1534,M,38,126
1535,M,28,27
1536,F,70,63
1537,M,29,65
1538,F,35,150
1539,F,76,3
1540,M,64,63
1541,M,67,152
1542,F,56,62
1543,M,27,152
1544,F,30,0
1545,M,60,159
1546,F,37,82
1547,M,48,39
1548,M,33,17
1549,M,34,237
1550,M,47,16
1551,F,3,15
1552,M,50,89
1553,F,35,87
1554,F,46,150
1555,F,19,86
1556,M,60,162
1557,F,77,150
1558,F,42,48
1559,F,34,11
1560,M,62,176
1561,M,12,204
1562,M,52,119
1563,M,24,12
1564,F,29,175
1565,F,37,44
1566,M,4,33
1567,F,39,176
1568,F,40,17
1569,F,3,152
1570,M,70,7
1571,M,39,211
1572,F,48,151
1573,F,69,181
1574,F,30,149
1575,F,25,67
1576,M,66,219
1577,M,66,72
1578,M,30,131
1579,M,50,0
1580,F,31,139
1581,M,45,38
1582,F,51,237
1583,M,8,151
1584,M,39,181
1585,F,28,221
1586,F,2,30
1587,F,40,13
1588,M,61,37
1589,F,20,22
1590,M,50,52
1591,F,10,170
1592,F,70,73
1593,F,34,150
1594,M,22,110
1595,M,11,53
1596,M,49,78
1597,M,19,181
1598,M,23,80
1599,M,25,220
1600,F,44,200
1601,M,22,139
1602,M,43,3
1603,M,52,150
1604,F,60,19
1605,M,63,44
1606,M,47,78
1607,M,38,21
1608,F,63,108
1609,M,31,111
1610,F,48,92
1611,F,41,181
1612,M,63,114
1613,M,46,45
1614,M,48,65
1615,M,7,180